 13   0.750  -0.106   0.035   0.002  79.0  80.0  78.0  71.0  69.0  65.0   0.112  288.27 0 0 0 0 0 0
 14   0.800  -0.105   0.038   0.001  78.0  80.0  76.0  69.0  67.0  63.0   0.112  289.90 0 0 0 0 0 0
 15   0.850  -0.100   0.035   0.002  78.0  80.0  76.0  66.0  51.0  59.0   0.106  289.29 0 0 0 0 0 0
 16   0.900  -0.095   0.038   0.001  77.0  79.0  78.0  55.0  24.0  47.0   0.102  291.80 0 0 0 0 0 0
02 10 2023 11 40 00.000     1   149 00000000 01110000  11.6 1546.3 285.9  -3.3  -0.4   1.111  30.37     0     0 3  16
  1   0.150  -0.055  -0.011  -0.003  96.0  94.0  98.0  74.0  73.0  72.0   0.056  258.69 0 0 0 0 0 0
  2   0.200  -0.061  -0.019  -0.004  92.0  90.0  92.0  73.0  70.0  71.0   0.064  252.70 0 0 0 0 0 0
  3   0.250  -0.067  -0.013  -0.005  89.0  87.0  88.0  72.0  69.0  67.0   0.068  259.02 0 0 0 0 0 0
  4   0.300  -0.075  -0.007  -0.006  86.0  85.0  87.0  70.0  66.0  68.0   0.075  264.67 0 0 0 0 0 0
  5   0.350  -0.079  -0.008  -0.005  85.0  84.0  86.0  69.0  64.0  67.0   0.079  264.22 0 0 0 0 0 0
  6   0.400  -0.085  -0.007  -0.003  83.0  83.0  84.0  71.0  66.0  67.0   0.085  265.29 0 0 0 0 0 0
  7   0.450  -0.091  -0.005  -0.002  81.0  82.0  82.0  68.0  66.0  62.0   0.091  266.86 0 0 0 0 0 0
  8   0.500  -0.093  -0.008   0.000  80.0  79.0  81.0  66.0  63.0  62.0   0.093  265.08 0 0 0 0 0 0
  9   0.550  -0.098  -0.010   0.001  79.0  78.0  81.0  67.0  64.0  63.0   0.099  264.17 0 0 0 0 0 0
 10   0.600  -0.095  -0.007   0.001  77.0  79.0  79.0  64.0  63.0  62.0   0.095  265.79 0 0 0 0 0 0
 11   0.650  -0.096  -0.010   0.001  78.0  78.0  78.0  65.0  63.0  60.0   0.097  264.05 0 0 0 0 0 0
 12   0.700  -0.096  -0.014   0.001  79.0  76.0  79.0  66.0  61.0  62.0   0.097  261.70 0 0 0 0 0 0
 13   0.750  -0.092  -0.012   0.003  76.0  76.0  80.0  60.0  58.0  59.0   0.093  262.57 0 0 0 0 0 0
 14   0.800  -0.094  -0.010   0.004  72.0  76.0  79.0  54.0  54.0  55.0   0.095  263.93 0 0 0 0 0 0
 15   0.850  -0.095  -0.003   0.004  72.0  75.0  75.0  53.0  36.0  49.0   0.095  268.19 0 0 0 0 0 0
 16   0.900  -0.095  -0.013   0.001  72.0  75.0  75.0  41.0  19.0  37.0   0.096  262.21 0 0 0 0 0 0
02 10 2023 11 50 00.000     1   186 00000000 01110000  11.6 1546.2 285.9  -3.3  -0.4   1.122  30.33     0     0 3  16
  1   0.150  -0.052  -0.011  -0.006  94.0  92.0  92.0  66.0  68.0  61.0   0.053  258.06 0 0 0 0 0 0
  2   0.200  -0.057  -0.006  -0.008  89.0  88.0  89.0  66.0  65.0  57.0   0.057  263.99 0 0 0 0 0 0
  3   0.250  -0.062  -0.005  -0.008  89.0  84.0  87.0  69.0  60.0  54.0   0.062  265.39 0 0 0 0 0 0
  4   0.300  -0.063   0.001  -0.009  86.0  83.0  84.0  68.0  61.0  57.0   0.063  270.91 0 0 0 0 0 0
  5   0.350  -0.068   0.011  -0.009  84.0  82.0  83.0  66.0  62.0  58.0   0.069  279.19 0 0 0 0 0 0
  6   0.400  -0.074   0.022  -0.008  81.0  81.0  82.0  66.0  61.0  60.0   0.077  286.56 0 0 0 0 0 0
  7   0.450  -0.079   0.031  -0.007  80.0  80.0  81.0  67.0  61.0  63.0   0.085  291.43 0 0 0 0 0 0
  8   0.500  -0.087   0.028  -0.004  79.0  78.0  80.0  67.0  63.0  64.0   0.091  287.84 0 0 0 0 0 0
  9   0.550  -0.087   0.032  -0.003  79.0  79.0  81.0  66.0  63.0  63.0   0.093  290.19 0 0 0 0 0 0
 10   0.600  -0.087   0.032  -0.002  79.0  79.0  83.0  67.0  64.0  68.0   0.093  290.19 0 0 0 0 0 0
 11   0.650  -0.091   0.035  -0.001  79.0  80.0  84.0  68.0  65.0  63.0   0.097  291.04 0 0 0 0 0 0
 12   0.700  -0.091   0.035   0.000  79.0  81.0  82.0  66.0  65.0  61.0   0.097  291.04 0 0 0 0 0 0
 13   0.750  -0.092   0.033   0.002  76.0  79.0  82.0  60.0  60.0  60.0   0.098  289.73 0 0 0 0 0 0
 14   0.800  -0.095   0.034   0.002  77.0  78.0  83.0  61.0  55.0  53.0   0.101  289.69 0 0 0 0 0 0
 15   0.850  -0.098   0.032   0.003  78.0  79.0  81.0  57.0  44.0  42.0   0.103  288.08 0 0 0 0 0 0
 16   0.900  -0.093   0.034   0.006  79.0  80.0  80.0  46.0  22.0  30.0   0.099  290.08 0 0 0 0 0 0
02 10 2023 12 00 00.000     1   223 00000000 01110000  11.6 1546.2 285.8  -3.3  -0.4   1.128  30.32     0     0 3  16
  1   0.150  -0.047   0.023  -0.002  93.0  93.0  95.0  64.0  68.0  66.0   0.052  296.08 0 0 0 0 0 0
