Vial_No_Only,Placement_Code,T0_Weight,T0_Temp,T0_Sal,T1_Weight,T1_Temp,T1_Sal,Change,Percent_Change,Percent_Change_100,Surface.Area,Change_Over_Area,T1_Notes,T0_sw_dens,T1_sw_dens,T0_dry_weight.g,T1_dry_weight.g
19,PAC V09 A,15.5411,29,31.45,16.2447,28.4,31.35,1.0805936881913425,0.045340106992004976,4.534010699200498,57.1501,0.018907992955241416,,1.0194012492319635,1.019522987707297,23.833064363564215,24.913658051755558
20,PAC V09 B,18.275,29,31.48,18.7269,28.4,31.37,0.6947372880403364,0.024789055653486627,2.4789055653486627,56.53032,0.012289640108889112,,1.0194237295053383,1.0195379877274116,28.025968304388407,28.720705592428743
21,PAC V09 C,17.8518,28.9,31.49,21.3173,28.4,31.34,5.315572534593663,0.19415813633234857,19.41581363323486,111.32726,0.04774726814073807,,1.0194642048116955,1.0195154877587085,27.377542012943387,32.69311454753705
55,PAC V10 A,17.6944,29.3,31.73,19.1068,28.2,31.36,2.1673980934272414,0.0798692543796551,7.98692543796551,66.33496,0.032673541876368686,,1.0195116041604855,1.0195954455416225,27.136826432917562,29.304224526344804
56,PAC V10 B,16.3482,29.8,31.48,17.706,28.2,31.36,2.0882171356354817,0.08330346205497373,8.330346205497372,59.05604,0.03535992483809415,,1.0191572093141743,1.0195954455416225,25.067591239574448,27.15580837520993
57,PAC V10 C,17.8092,29.8,31.47,20.1522,28.2,31.32,3.5993601970392888,0.13180744374107783,13.180744374107784,89.22488,0.040340319841722275,,1.019149725003034,1.019565436356007,27.307715671277727,30.907075868317015
40,PAC V11 A,14.1137,29.3,31.48,15.8482,28.7,31.39,2.661498319703494,0.12297155509851627,12.297155509851628,58.79974,0.04526377701165845,,1.0193243406049792,1.0194549761123912,21.64320291445681,24.304701234160305
41,PAC V11 B,14.4612,29.2,31.48,15.4229,28.7,31.4,1.4760808911901684,0.06656066142199295,6.656066142199295,48.6922,0.030314524527340486,,1.0193575446219034,1.019462472741186,22.176475708855296,23.652556600045465
42,PAC V11 C,14.8433,29.2,31.45,17.0074,28.6,31.39,3.3207259272348644,0.1458879694278883,14.588796942788829,70.57556,0.04705206628519653,,1.019335071278363,1.019487721810263,22.762164284398263,26.082890211633128
28,PAC V12 A,16.3289,28.5,31.47,16.9023,29,31.37,0.876176655150477,0.03498612926127259,3.498612926127259,45.56068,0.019230982837623957,,1.019580385397166,1.0193413036450683,25.043543645748446,25.919720300898923
29,PAC V12 B,15.0027,28.5,31.48,15.5948,29,31.4,0.9052987071294822,0.03934430865163272,3.934430865163272,46.67908,0.01939409917953572,,1.0195878847006496,1.0193637829320175,23.0096483622394,23.914947069368882
30,PAC V12 C,15.5502,28.5,31.48,17.3881,29,31.38,2.815451034411417,0.11805148179939917,11.805148179939916,57.81648,0.04869634115413836,,1.0195878847006496,1.0193487966996537,23.849349381277708,26.664800415689125
54,PAC V13 A,13.7494,28.7,31.47,15.7178,29.1,31.36,3.016118678652795,0.14303446722438715,14.303446722438714,70.67808,0.04267403243909279,,1.0195149502926952,1.0193007693010177,21.086656504415963,24.102775183068758
53,PAC V13 B,12.3336,28.7,31.38,13.2937,29,31.37,1.4712647135179182,0.07778436669623484,7.778436669623484,51.49286,0.028572208137553793,,1.019447479524639,1.0193413036450683,18.914658253419127,20.385922966937045
52,PAC V13 C,13.2246,28.7,31.49,14.1551,29,31.38,1.4250068080880283,0.07025981614091602,7.025981614091601,46.968,0.030339950776869958,,1.0195299442487311,1.0193487966996537,20.28196039155547,21.706967199643497
46,PAC V14 A,14.0388,29.2,31.44,17.2303,28.7,31.41,4.896107498149064,0.22742571661861094,22.742571661861096,96.78806,0.050585862534583956,,1.0193275802461397,1.0194699694110327,21.528381094912643,26.424488593061707
47,PAC V14 B,13.1077,29.2,31.43,15.782,28.7,31.41,4.102898952553762,0.20411957019612303,20.411957019612302,79.96546,0.05130838930400403,,1.0193200892550465,1.0194699694110327,20.10046831184093,24.203367264394693
48,PAC V14 C,14.3702,29.2,31.46,16.9776,28.7,31.41,4.00019340996122,0.1815237213922939,18.15237213922939,84.63944,0.04726157699012683,,1.0193425623517258,1.0194699694110327,22.036752988973472,26.036946398934692
25,PAC V15 A,14.1628,28.9,31.45,15.7739,28.6,31.38,2.471328544707859,0.1137825692877446,11.37825692877446,76.31668,0.03238254788740625,,1.0194342263901746,1.019480224051228,21.719746356387148,24.191074901095007
26,PAC V15 B,16.2345,28.9,31.47,19.671,28.6,31.39,5.270787216683807,0.2117032534507719,21.170325345077188,104.81258,0.05028773470401938,,1.0194492155186705,1.019487721810263,24.89705344991045,30.16784066659426
