PLACEMENT,SLURRY.LABEL,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,sym_FSC.Events,sym_FSC.Mean.Chla.A,sym_FSC.Events.μL.V.,Pin_Number,Cage_Uncaged,Genotype,Species,Surface_Area,Approximate.Dry.Weight.of.Whole.Sample,FSC.Events.per.ul,FSC.Events.per.slurry,FSC.Events_per_cm_2,FSC.Events_per_g_dry_weight
PAC V08 A,PAC 36,25,28,213,6133890.5,1.42,8,C,PA19,Pocillopora_acuta,53.43608,0.106,18.038617886178862,450965.4471544716,8439.343738434249,4254391.010891242
PAC V08 B,PAC 35,25,28,782,5848469.5,5.21,8,B,PA19,Pocillopora_acuta,54.7036,0.2255,66.22628726287265,1655657.181571816,30265.963877547656,7342160.45042934
PAC V08 C,PAC 34,25,28,246,5943475.0,1.64,8,A,PA19,Pocillopora_acuta,43.03496,0.1755,20.833333333333336,520833.3333333334,12102.563435247375,2967711.301044635
PAC V09 A,PAC 45,25,28,366,3987410.0,2.44,9,C,PA13,Pocillopora_acuta,57.1501,0.17848,30.995934959349597,774898.3739837399,13559.002941092664,4341653.821065329
PAC V09 B,PAC 44,25,28,226,5309813.5,1.51,9,B,PA13,Pocillopora_acuta,56.53032,0.233,19.13956639566396,478489.1598915989,8464.292434424551,2053601.5445991368
PAC V09 C,PAC 43,25,28,353,4588393.5,2.35,9,A,PA13,Pocillopora_acuta,111.32726,0.371,29.894986449864504,747374.6612466127,6713.312276315906,2014486.9575380397
PAC V10 A,PAC 42,25,28,202,5350018.0,1.35,10,C,PA18,Pocillopora_acuta,66.33496,0.262,17.107046070460704,427676.15176151757,6447.221069576549,1632351.7242806014
PAC V10 B,PAC 41,25,28,285,5538521.0,1.90,10,B,PA18,Pocillopora_acuta,59.05604,0.2335,24.13617886178862,603404.4715447155,10217.489549666985,2584173.3256732994
PAC V10 C,PAC 40,25,28,1033,5868506.0,6.89,10,A,PA18,Pocillopora_acuta,89.22488,0.332,87.48306233062331,2187076.5582655827,24511.958528446132,6587579.994775851
PAC V11 A,PAC 30,25,28,533,4368718.5,3.55,11,C,PA18,Pocillopora_acuta,58.79974,0.2445,45.13888888888889,1128472.2222222225,19191.789321215067,4615428.311747331
PAC V11 B,PAC 29,25,28,186,4668692.0,1.24,11,B,PA18,Pocillopora_acuta,48.6922,0.1565,15.752032520325205,393800.8130081301,8087.554331250798,2516299.1246525887
PAC V11 C,PAC 28,25,28,513,5575358.0,3.42,11,A,PA18,Pocillopora_acuta,70.57556,0.3315,43.44512195121952,1086128.0487804879,15389.57747951965,3276404.3703785455
PAC V12 A,PAC 33,25,28,198,3165413.5,1.32,12,C,PA21,Pocillopora_acuta,45.56068,0.14382,16.76829268292683,419207.3170731708,9201.076829256517,2914805.430907876
PAC V12 B,PAC 32,25,28,101,3362420.5,0.67,12,B,PA21,Pocillopora_acuta,46.67908,0.156,8.553523035230352,213838.07588075878,4581.025930261667,1370756.8966715306
PAC V12 C,PAC 31,25,28,236,4676591.0,1.57,12,A,PA21,Pocillopora_acuta,57.81648,0.2015,19.98644986449865,499661.24661246623,8642.19417391834,2479708.4199129837
PAC V13 A,PAC 58,25,28,359,5436779.0,2.39,13,A,PA13,Pocillopora_acuta,70.67808,0.338,30.403116531165317,760077.9132791329,10754.08264173465,2248751.222719328
PAC V13 B,PAC 59,25,28,328,4827784.5,2.18,13,B,PA13,Pocillopora_acuta,51.49286,0.1545,27.77777777777778,694444.4444444445,13486.227885661128,4494786.048184107
PAC V13 C,PAC 60,25,28,491,4539242.0,3.27,13,C,PA13,Pocillopora_acuta,46.968,0.143,41.5819783197832,1039549.4579945798,22133.142948274988,7269576.629332727
PAC V14 A,PAC 57,25,28,433,5357122.5,2.89,14,C,PA18,Pocillopora_acuta,96.78806,0.3665,36.67005420054201,916751.3550135504,9471.740161064808,2501367.953652252
PAC V14 B,PAC 56,25,28,452,5954456.5,3.01,14,B,PA18,Pocillopora_acuta,79.96546,0.3565,38.27913279132792,956978.3197831978,11967.39592047864,2684371.163487231
PAC V14 C,PAC 55,25,28,397,5891121.5,2.65,14,A,PA18,Pocillopora_acuta,84.63944,0.42,33.621273712737135,840531.8428184283,9930.734924739912,2001266.2924248294
PAC V15 A,PAC 21,25,28,274,4431563.0,1.83,15,C,PA21,Pocillopora_acuta,76.31668,0.1695,23.20460704607046,580115.1761517614,7601.420504033475,3422508.4138746983
PAC V15 B,PAC 20,25,28,303,4042272.0,2.02,15,B,PA21,Pocillopora_acuta,104.81258,0.22344,25.66056910569106,641514.2276422766,6120.584262330692,2871080.5032325303
