Slurry_ID,Chl-a 1,Chl-a 2,Chl-c2 1,Chl-c2 2,Chl1,Chl2,Total_Chl_ug/mL,SD,CV,Slurry Volume (ml),Surface area (cm^2),Chl_ug/cm^2
PRU 23,0.5707028169,0.555943662,0.2580295775,0.2740774648,0.8287323944,0.8300211268,0.8293767606,0.0009112714152,0.001098742403,,,
PRU 24,0.4113521127,0.4352295775,0.1723098592,0.1760873239,0.5836619718,0.6113169014,0.5974894366,0.01955498824,0.03272859241,,,
PRU 25,5.71485493,6.183478873,1.3698,1.349725352,7.08465493,7.533204225,7.308929577,0.3171722487,0.04339517099,,,
PRU 26,4.515777465,4.782525352,0.7925323944,0.9312422535,5.308309859,5.713767606,5.511038732,0.286701922,0.05202320941,,,
PRU 27,4.839092958,4.842478873,2.121287324,1.707443662,6.960380282,6.549922535,6.755151408,0.2902374559,0.04296535168,,,
PRU 28,1.398287324,1.501035211,0.3284450704,0.3753380282,1.726732394,1.876373239,1.801552817,0.1058120563,0.05873380747,,,
PRU 29,0.4984394366,0.5137394366,0.2734056338,0.2344647887,0.7718450704,0.7482042254,0.7600246479,0.01671660186,0.02199481544,,,
PRU 30,1.926528169,2.025888732,0.4901408451,0.4775197183,2.416669014,2.503408451,2.460038732,0.06133404383,0.02493214559,,,
PRU 31,0.6692647887,0.7529647887,0.2115802817,0.2531619718,0.8808450704,1.006126761,0.9434859155,0.08858753266,0.09389385809,,,
PRU 32,0.8101338028,0.8487450704,0.1327605634,0.2568253521,0.9428943662,1.105570423,1.024232394,0.1150293426,0.1123078544,,,
PRU 33,0.4913042254,0.5335985915,0.1696394366,0.2054366197,0.660943662,0.7390352113,0.6999894366,0.05521906406,0.07888556766,,,
PRU 34,3.379898592,3.652532394,0.8541084507,1.081833803,4.234007042,4.734366197,4.48418662,0.3538073515,0.07890112109,,,
PRU 35,0.9277830986,0.9282338028,0.3604774648,0.3414,1.288260563,1.269633803,1.278947183,0.01317110871,0.01029839925,,,
PRU 36,1.017947887,1.109967606,0.2636788732,0.2912577465,1.281626761,1.401225352,1.341426056,0.0845689751,0.06304408261,,,
BLANK,0.02726478873,0.01868732394,0.0632915493,0.02057323944,0.09055633803,0.03926056338,0.0649084507,0.0362715901,0.5588115216,,,
PRU 37,3.12011831,3.297988732,0.758628169,0.804384507,3.878746479,4.102373239,3.990559859,0.1581279988,0.03962551733,,,
PRU 38,1.821166197,1.928395775,0.5538971831,0.5463507042,2.37506338,2.474746479,2.42490493,0.07048659498,0.02906777669,,,
PRU 39,0.5783014085,0.6134478873,0.2745507042,0.2747492958,0.8528521127,0.8881971831,0.8705246479,0.02499273898,0.02870997282,,,
