"CowTagID","X._loss","lat","lon","dist_to_seep_m","shore_dist_m","Minimum_Salinity","Minimum_Temperature","Minimum_TA","Minimum_pH","Minimum_Phosphate_umolL","Minimum_Silicate_umolL","Minimum_NN_umolL","Minimum_NNP_umolL","Minimum_Ammonia_umolL","Maximum_Salinity","Maximum_Temperature","Maximum_TA","Maximum_pH","Maximum_Phosphate_umolL","Maximum_Silicate_umolL","Maximum_NN_umolL","Maximum_NNP_umolL","Maximum_Ammonia_umolL","Mean_Salinity","Mean_Temperature","Mean_TA","Mean_pH","Mean_Phosphate_umolL","Mean_Silicate_umolL","Mean_NN_umolL","Mean_NNP_umolL","Mean_Ammonia_umolL","CV_Salinity","CV_Temperature","CV_TA","CV_pH","CV_Phosphate_umolL","CV_Silicate_umolL","CV_NN_umolL","CV_Ammonia_umolL","sd_Salinity","sd_Temperature","sd_TA","sd_pH","sd_Phosphate_umolL","sd_Silicate_umolL","sd_NN_umolL","sd_NNP_umolL","sd_Ammonia_umolL","Low_Tide_Mean_Salinity","Low_Tide_Mean_Temperature","Low_Tide_Mean_TA","Low_Tide_Mean_pH","Low_Tide_Mean_Phosphate_umolL","Low_Tide_Mean_Silicate_umolL","Low_Tide_Mean_NN_umolL","Low_Tide_Mean_NNP_umolL","Low_Tide_Mean_Ammonia_umolL","Time","N_percent","C_N","pulse_pc1"
"V19",25.41082803,-17.54050802,-149.89978,52.8895347811233,45,36.27,26.74,2317.13505,7.9501934177493,0.11887111,0.7,0.067080879,0.56431608151047,0.14,36.63,29.37,2369.352141,8.09779178367134,0.22,1.29,0.47,2.13636363636364,0.950458716,36.5175,28.11875,2337.98002575,8.02628890221797,0.177265877875,1.00265511025,0.25546221825,1.33370651341432,0.320101337375,0.00329179579110597,0.0337879260357969,0.00800254446927485,0.00610277642599558,0.221415766201656,0.223379988500366,0.609214795590945,0.862467046773851,0.120208152801712,0.950074245219063,18.7097891243407,0.0489826467006858,0.0392494601711024,0.223973086997479,0.155631363072383,0.637049414679747,0.276076855114176,36.575,28.165,2336.63244825,8.0285915356458,0.18132532925,1.078725416,0.2723366555,1.4380288399306,0.35505903325,"All",1.03684432,34.24723247,-2.97211003291662
"V2",23.04997254,-17.53989003,-149.900519,134.17932919465,35,36.09,27.15,2328.302637,7.92523676833072,0.147550467,0.92,0.232831964,1.3338282256616,0.163935715,36.64,29.32,2365.03174,8.05555174101946,0.26,5.76,1.05,4.03846153846154,2.4,36.425,28.27,2347.598096375,8.00054531143662,0.190153339375,2.2096600595,0.548556364625,2.79242391545668,0.61371223525,0.00465441826034606,0.0263748056964156,0.00528070448703638,0.00652055894086647,0.187871115852627,0.766696385863362,0.462491118173992,1.21603011604051,0.169537185133105,0.74561575703767,12.3969718012855,0.0521680272622954,0.0357243200514846,1.69413838160527,0.253702446456876,0.85136317991404,0.746292560646537,36.3475,28.335,2350.71627425,7.9905886964339,0.1972792665,3.32593137175,0.65829689425,3.23250664836125,0.8874301245,"All",1.048576081,32.19318182,1.40143530040572
"V20",28.0384356,-17.54045103,-149.899509,25.1434551955366,29,36.29,27.01,2310.803421,7.93085765164605,0.147596874,0.75,0.119176652,0.716042300555093,0.15511487,36.66,29.4,2363.766285,8.07678696843281,0.27,1.88,0.61,2.3,0.465584632,36.50875,28.23125,2331.261619875,8.01355344887128,0.183378119625,1.365156752375,0.311787091125,1.62057885141165,0.27032725375,0.0033239694232091,0.0308807914799985,0.00794970763608033,0.00676995005315099,0.220868777416495,0.27063785975998,0.546289280992611,0.421308228670563,0.121353968679585,0.871803344469709,18.5328483012213,0.0542513565971144,0.0405025010865095,0.369463101699655,0.170325945833454,0.612719226263858,0.11389109643879,36.535,28.305,2328.7855055,8.00686299867332,0.1907475195,1.46813996975,0.3531521435,1.77963679958638,0.27847591075,"All",0.988305705,33.57370518,-2.47044486589943
"V3",30.0673661,-17.54012598,-149.90056,131.914079592548,59,36.35,27.27,2338.368209,7.91742562590164,0.112838235,0.940740334,0.17487767,1.17057002123245,0.223401416,36.63,29.31,2380.835159,8.06975170043218,0.24,3.38,0.82,3.41666666666667,0.66846408,36.4971428571429,28.3842857142857,2353.18810857143,8.0042294081334,0.18104038075,1.7134392475,0.4179128175,2.22286990724326,0.40490870075,0.00279739868212456,0.0242596962949822,0.00624610424048465,0.007362509287323,0.221385924014511,0.553684087132431,0.508915103869366,0.33563783655565,0.102097059329883,0.688594150978575,14.6982582236061,0.058931213355246,0.0400797919762777,0.948704045608918,0.212682144926352,0.781611643993879,0.135902680322289,36.4675,28.285,2355.17410475,7.9990154604578,0.187864989,2.26399907775,0.531605573,2.74519060710338,0.4318510275,"All",1.080889867,32.45090909,0.160655121931616
"V4",39.90487239,-17.54024902,-149.900454,119.345220340569,63.5,36.4,27.1,2320.14392,7.94843547289435,0.128152455,0.84,0.184071041,1.13145487979009,0.132552707,36.65,29.33,2362.8142,8.07097374299292,0.24,3.01,1.06,4.41666666666667,1.07,36.52375,28.265,2342.70559225,8.01838901396116,0.185036672875,1.270093439375,0.418684395875,2.0912203612527,0.412108263375,0.00205899198831035,0.0270574283559544,0.00694233128548742,0.00563591391292413,0.256532812314909,0.585530363263541,0.728458503367999,0.696886473309355,0.0752021086330502,0.764778212481052,16.2638383257635,0.0451909502030217,0.0474679780740176,0.743678272935884,0.304994208402637,1.04952721580288,0.287192674285047,36.51,28.345,2345.1256635,8.01718516151605,0.18978425525,1.6820135835,0.54024314,2.5870277382775,0.55400548225,"All",1.16017121,29.54045307,-0.632189983745684
"V5",26.50364964,-17.54025003,-149.900336,106.831208085763,55,36.23,26.97,2321.38849,7.94626126726384,0.116086706,0.86,0.135219987,0.835257675288031,0.04,36.61,29.37,2366.352432,8.06133725865073,0.25,5.43,1.05,4.2,0.470025058,36.48,28.205,2343.904706625,8.01448883965581,0.1779399125,1.693587049125,0.42712633325,2.25484948116701,0.29266547375,0.00338595963678217,0.0295628721787261,0.00748230721842039,0.00580576866112436,0.231340795292239,0.940888739060509,0.668836604531367,0.525694464742101,0.123519807549814,0.833820809800969,17.5378151056698,0.0465302681402046,0.0411647608719814,1.59347698314043,0.285677726436863,0.987900744118809,0.1538526195715,36.4225,28.285,2351.0927145,8.00733123087945,0.188885612,2.49557079375,0.51901635425,2.53108521046912,0.41533136125,"All",0.974888097,34.53696498,0.0234433827874723
"V6",24.11460674,-17.54002498,-149.900106,87.8516356939548,20,36.31,27.24,2322.780484,7.91622854131028,0.141610406,1.05,0.134498939,0.949781465918543,0.12,36.58,29.29,2405.71887,8.05962282779853,0.25,5,0.92,3.68,0.43,36.4525,28.25625,2349.59705475,8.00536168336848,0.1885234655,2.79623498725,0.464802269375,2.35373758265909,0.28077359825,0.00268687009638053,0.0257701120756522,0.0112123453107786,0.00670850263932803,0.178047261061838,0.542764581031486,0.527042405516669,0.418890768500933,0.0979431321883112,0.728166729337647,26.3444935190455,0.0537039899816529,0.0335660866781608,1.51769731132033,0.244970506141007,0.941796634542177,0.117613468345715,36.4025,28.3175,2362.90435175,7.99713070959145,0.20268565,4.00505053725,0.61219278825,2.96194207842928,0.3407284905,"All",1.074096507,31.34586466,2.5867719108471
"V7",36.61945813,-17.54004803,-149.899985,74.9543805154583,15.5,36.26,27.08,2332.53922,7.91307048702686,0.148432195,1.01,0.168388231,1.13444546851847,0.162075537,36.58,29.48,2371.959181,8.07705014333849,0.25,5.850910131,0.92,4.18181818181818,0.7,36.4242857142857,28.4385714285714,2345.60307514286,8.00168477034351,0.196011863875,2.92509483825,0.5113091205,2.49998104396923,0.32946965525,0.0029048627883984,0.028741323864621,0.00611739702615141,0.00731730741096821,0.184970817098947,0.521934046164634,0.524689380922563,0.544391299761305,0.10580755216542,0.81736219167573,14.3489852764105,0.058550787270266,0.0362564746220464,1.52670658434311,0.268278465895205,1.03096076237246,0.179360413853456,36.3775,28.325,2350.18324325,8.00089677901312,0.2010206465,3.9576941135,0.65222647475,3.16152631935658,0.40597611775,"All",0.994806233,31.32931727,1.84979796401704
"V8",29.38766756,-17.54014903,-149.899896,62.3419511281081,20,36.04,27.03,2321.38849,7.93021162038583,0.145415758,0.77,0.169830328,1.02095122773371,0.13123258,36.68,29.43,2363.226902,8.05529974897107,0.26,8.28,1.34,5.15384615384615,0.54,36.46875,28.265,2341.90313775,8.00325358132295,0.18645836625,2.56918465475,0.49092993325,2.44698721206793,0.287798073375,0.00525701777910856,0.0309588189959588,0.00620201373992739,0.00645886066059307,0.193209637313955,0.963301020413443,0.746742339249392,0.479586915775847,0.191716867131865,0.875051018920774,14.5245154379046,0.0516918997131574,0.036025553317315,2.47489819955123,0.366598166762653,1.23107524242159,0.138024190376147,36.4075,28.3375,2349.84303575,7.98588672180544,0.194976495,3.876452652,0.63788083775,3.00987527689247,0.3851089105,"All",1.263891063,26.95665635,1.43078898475648
"V9",31.60582307,-17.540245,-149.899765,46.5013220254196,22.5,36.38,27.16,2318.333575,7.93202266004098,0.131586553,0.97,0.105927381,0.666934334753102,0.163515675,36.61,29.45,2372.370084,8.06915986753803,0.24,2.37,0.66,2.75,0.45,36.49875,28.3875,2344.941331125,8.01141462176701,0.18561393775,1.28478809875,0.37027853325,1.8671462380185,0.25253482925,0.00240390337292255,0.0299529675575983,0.00733604158544645,0.00647461279777121,0.232966957123622,0.368433423759035,0.566201795329004,0.406115145369379,0.0877394682324568,0.850289866541321,17.2025871205652,0.0518708076383441,0.0432419142773509,0.473358878027323,0.20965237029794,0.719354415942372,0.102558218891695,36.4825,28.435,2352.00076,8.00793096002875,0.18862441175,1.53515838975,0.4182850645,2.09848071009016,0.324716716,"All",0.892029657,38.33766234,-0.82997356269747
