"","CowTagID","Maximum_TA","Maximum_Phosphate_umolL","Maximum_Silicate_umolL","Maximum_NN_umolL","Maximum_NNP_umolL","Minimum_Salinity","Minimum_Temperature","Minimum_pH","Mean_TA","Mean_Phosphate_umolL","Mean_Silicate_umolL","Mean_NN_umolL","Mean_NNP_umolL","Low_Tide_Mean_TA","Low_Tide_Mean_Phosphate_umolL","Low_Tide_Mean_Silicate_umolL","Low_Tide_Mean_NN_umolL","Low_Tide_Mean_NNP_umolL","CV_Salinity","CV_Temperature","CV_TA","CV_pH","CV_Phosphate_umolL","CV_Silicate_umolL","CV_NN_umolL","CV_Ammonia_umolL","Low_Tide_Mean_TA.1","Low_Tide_Mean_Phosphate_umolL.1","Low_Tide_Mean_Silicate_umolL.1","Low_Tide_Mean_NN_umolL.1","Low_Tide_Mean_NNP_umolL.1","pc1","pc2","X._loss","lat","lon","dist_to_seep_m","shore_dist_m","pulse_pc1","pulse_pc2"
"11","V19",2343.707945,0.187056048,1.185435481,0.37666396,2.01364224267156,36.52,28.63,7.9501934177493,2332.9028455,0.14703175575,0.9303102205,0.1584244365,0.986372356972179,2336.63244825,0.18132532925,1.078725416,0.2723366555,1.4380288399306,0.0013648669657868,0.0111546907210099,0.0045345514795255,0.00549304973337128,0.207626662779082,0.199730302601287,0.922973274274469,1.034902546061,2336.63244825,0.18132532925,1.078725416,0.2723366555,1.4380288399306,-0.467572282891105,-4.03312779434688,25.41082803,-17.54050802,-149.89978,52.8895347811233,45,-3.44704176020323,-0.269542295749387
"12","V2",2360.453386,0.174559182,3.700915433,0.620575938,3.61663852735865,36.42,28.43,7.92523676833072,2346.84460025,0.16280667875,1.911820119,0.38461272925,2.36154197010749,2350.71627425,0.1972792665,3.32593137175,0.65829689425,3.23250664836125,0.00251180950272774,0.0135672059840807,0.00467879443614782,0.00659803065590996,0.0773591266232828,0.647667199675308,0.430535010827964,0.611355073313376,2350.71627425,0.1972792665,3.32593137175,0.65829689425,3.23250664836125,1.506246956354,1.50814831212911,23.04997254,-17.53989003,-149.900519,134.17932919465,35,1.86449439215302,0.516195633073575
"13","V20",2347.161306,0.166438005,1.495544182,0.28925403,1.87487084718085,36.52,28.53,7.93085765164605,2325.32547025,0.15425623925,1.36281350475,0.18107418225,1.18029025642953,2328.7855055,0.1907475195,1.46813996975,0.3531521435,1.77963679958638,0.00158554403475232,0.0142384152517647,0.00667944462727745,0.00617055514878337,0.0559541515342721,0.104634482828553,0.440823970329051,0.553984254826027,2328.7855055,0.1907475195,1.46813996975,0.3531521435,1.77963679958638,-1.95046266440564,0.584687463020417,28.0384356,-17.54045103,-149.899509,25.1434551955366,29,-2.75897940919492,-0.97980043639548
"14","V3",2361.344489,0.165463464,3.033281857,0.458430097,2.77058201199027,36.43,28.48,7.91742562590164,2348.57690275,0.1495807615,1.576878495,0.278325635,1.83427649710216,2355.17410475,0.187864989,2.26399907775,0.531605573,2.74519060710338,0.00232155441155641,0.0124463631416337,0.00480738198140519,0.00710723760665999,0.166108543827357,0.629441699654178,0.467006053656628,0.414037723779656,2355.17410475,0.187864989,2.26399907775,0.531605573,2.74519060710338,0.965654073149831,1.02254389194913,30.0673661,-17.54012598,-149.90056,131.914079592548,59,0.399130917102148,1.11484419499612
"15","V4",2362.423851,0.163003907,1.174706274,0.252300281,1.7597369386618,36.54,28.49,7.94843547289435,2350.21746375,0.14257334575,0.97768687875,0.20486879175,1.4477275190422,2345.1256635,0.18978425525,1.6820135835,0.54024314,2.5870277382775,0.00136468039385523,0.0122452410203133,0.00435294486294735,0.00567094660254628,0.105005357589026,0.14741166446304,0.157875816257036,0.429800201987101,2345.1256635,0.18978425525,1.6820135835,0.54024314,2.5870277382775,-2.74568672571586,-0.656194347774068,39.90487239,-17.54024902,-149.900454,119.345220340569,63.5,-0.431736796578048,0.665698930283719
"16","V5",2352.301094,0.162771874,2.390567731,0.3723549,2.2875874734968,36.5,28.47,7.94626126726384,2337.9675345,0.145879825,1.32967409825,0.2367526665,1.65312001496561,2351.0927145,0.188885612,2.49557079375,0.51901635425,2.53108521046912,0.0012730060662536,0.0131091451111013,0.00643283848321197,0.00584584444311988,0.150130824587178,0.536878559513016,0.435348879798847,0.463397922825693,2351.0927145,0.188885612,2.49557079375,0.51901635425,2.53108521046912,-0.960098134781624,-0.706546299658251,26.50364964,-17.54025003,-149.900336,106.831208085763,55,0.0982531776536906,0.609359025797949
"17","V6",2405.71887,0.18040643,4.688002503,0.534681004,2.96375802126343,36.36,28.34,7.91622854131028,2359.93571425,0.164546931,2.9299699745,0.31710453875,1.86485611769914,2362.90435175,0.20268565,4.00505053725,0.61219278825,2.96194207842928,0.00288678083610491,0.0148633145666452,0.0133754496353219,0.00658840188566216,0.100031437536287,0.543088970461215,0.61008698764545,0.323616027930265,2362.90435175,0.20268565,4.00505053725,0.61219278825,2.96194207842928,3.32730639627074,2.17339491169985,24.11460674,-17.54002498,-149.900106,87.8516356939548,20,2.67350853051769,0.0834079837298273
"18","V7",2357.65494,0.17558013,5.850910131,0.479520773,2.8818809115477,36.32,28.53,7.91307048702686,2341.45340375,0.16452372775,3.2701896765,0.307618241,1.85897959217336,2350.18324325,0.2010206465,3.9576941135,0.65222647475,3.16152631935658,0.00291508824347575,0.0148091827766102,0.00494852524752637,0.00644035719105431,0.069718086225875,0.580257382466635,0.478478495060124,0.180860284906111,2350.18324325,0.2010206465,3.9576941135,0.65222647475,3.16152631935658,1.34680852154222,1.95412488122048,36.61945813,-17.54004803,-149.899985,74.9543805154583,15.5,2.18339902746685,-0.0582183363829934
"19","V8",2355.165876,0.171403525,3.702299847,0.406694848,2.37273327955186,36.46,28.61,7.93021162038583,2342.36522525,0.1604167325,2.1683693095,0.2743598665,1.70639007865678,2349.84303575,0.194976495,3.876452652,0.63788083775,3.00987527689247,0.00245993551077023,0.0124649431033951,0.00478131148971191,0.00583495170001916,0.0705774687167072,0.510527248257459,0.357515805848079,0.419785223514847,2349.84303575,0.194976495,3.876452652,0.63788083775,3.00987527689247,-0.552178107272088,-0.0776420522304921,29.38766756,-17.54014903,-149.899896,62.3419511281081,20,1.71352215201932,0.250856484587137
"20","V9",2354.123837,0.158827302,1.543652563,0.244549007,1.64548910560673,36.52,28.86,7.93202266004098,2340.76039825,0.1462278755,1.2095761975,0.1830570665,1.26270156694609,2352.00076,0.18862441175,1.53515838975,0.4182850645,2.09848071009016,0.00112461208824961,0.00912497516356267,0.00480720827375153,0.00626667587308743,0.076859641865257,0.188298504550375,0.3365826591977,0.23561566510046,2352.00076,0.18862441175,1.53515838975,0.4182850645,2.09848071009016,-2.78867244203119,-1.21756116600094,31.60582307,-17.540245,-149.899765,46.5013220254196,22.5,-1.01150785806041,0.458944368026839
