Placement_Code,Cage_Uncaged,Pin_Number,Metabolomics_Vial,Microbiome_Vial,Slurry_Label,Genotype,Species
PAC V14 A,A,14,PAC 57,PAC 57,PAC 57,PA18,Pocillopora_acuta
PAC V13 A,A,13,PAC 58,PAC 58,PAC 58,PA22,Pocillopora_acuta
PAC V13 B,B,13,PAC 59,PAC 59,PAC 59,PA22,Pocillopora_acuta
PAC V13 C,C,13,PAC 60,PAC 60,PAC 60,PA22,Pocillopora_acuta
T0,T0,0,PA18,PA18,PA18,PA18,Pocillopora_acuta
T0,T0,0,PA11,PA11,PA11,PA11,Pocillopora_acuta
T0,T0,0,PA19,PA19,PA19,PA19,Pocillopora_acuta
T0,T0,0,PA20,PA20,PA20,PA20,Pocillopora_acuta
T0,T0,0,PA13,PA13,PA13,PA13,Pocillopora_acuta
T0,T0,0,PA10,PA10,PA10,PA10,Pocillopora_acuta
T0,T0,0,PA21,PA21,PA21,PA21,Pocillopora_acuta
T0,T0,0,PA22,PA22,PA22,PA22,Pocillopora_acuta
T0,T0,0,PR77,PR77,PR77,PR77,Pocillopora_acuta
