Micro_Vial,Weight..mg.,μg.N,δ15N...........vs..AIR.,μg.C,δ13C............vs..VPDB.,HS,δ15N,δ13C,Vial_No_Only,Placement_Code,Pin_Number,Cage_Uncaged,Metabolomics_Vial,Genotype,Species,CowTagID,Δ15N,Δ13C,C_N_ratio,Percent_N,Percent_C,δ15N_T0,δ13C_T0,δ15N_T1_T0,δ13C_T1_T0,Δ15N_T1T0,Δ13C_T1T0,δ15N_T1_T0_host,δ15N_T1_T0_symb,δ13C_T1_T0_host,δ13C_T1_T0_symb,Percent_N15,Percent_C13
PRU 43,20.3519,47.9,5.8,295,-13.5,host,5.8,-13.5,43,PRU V09 C,9,C,PRU 43,PR04,Porites rus,V9,0.20000000000000018,0.5999999999999996,6.158663883089771,0.23535886084345933,1.449496115841764,5.3,-15.1,0.5,1.5999999999999996,1.3000000000000007,1.5,0.5,-0.8000000000000007,1.5999999999999996,0.09999999999999964,12.10855949895616,-4.576271186440678
PRU 46,18.2952,34.5,6.3,222.5,-15.3,host,6.3,-15.3,46,PRU V19 C,19,C,PRU 46,PR08,Porites rus,V19,0.20000000000000018,-1,6.449275362318841,0.18857405221041584,1.2161659888932614,5.9,-13.7,0.39999999999999947,-1.6000000000000014,0.5999999999999996,-0.9000000000000004,0.39999999999999947,-0.20000000000000018,-1.6000000000000014,-0.7000000000000011,18.26086956521739,-6.876404494382022
PRU 52,17.3851,39.9,6,264.9,-13.1,host,6,-13.1,52,PRU V20 C,20,C,PRU 52,PR03,Porites rus,V20,-0.20000000000000018,-0.1999999999999993,6.639097744360902,0.22950687657821925,1.5237185866057714,4.6,-15.1,1.4000000000000004,2,0.40000000000000036,1.4000000000000004,1.4000000000000004,1,2,0.5999999999999996,15.037593984962406,-4.9452623631559085
PA18,7.5579,26.2,5.8,279.3,-16.9,host,5.8,-16.9,NA,T0,T0,NA,NA,PA18,Pocillopora acuta,T0,0.8999999999999995,-0.09999999999999787,10.660305343511451,0.34665714021090516,3.69547096415671,5.8,-16.9,0,0,0,0,0,0,0,0,22.137404580152673,-6.050841389187253
PAC 02,9.7348,51.1,6.8,310,-16.4,host,6.8,-16.4,2,PAC V01 C,1,C,PAC 02,PA22,Pocillopora acuta,V1,0.7999999999999998,-0.09999999999999787,6.066536203522505,0.5249209023297859,3.184451657969347,6.2,-15.8,0.5999999999999996,-0.5999999999999979,0.39999999999999947,-0.09999999999999787,0.5999999999999996,0.20000000000000018,-0.5999999999999979,-0.5,13.307240704500977,-5.29032258064516
PAC 07,9.2822,38.6,6.6,245.3,-16,host,6.6,-16,7,PAC V03 A,3,A,PAC 07,PA11,Pocillopora acuta,V3,0.2999999999999998,-0.09999999999999964,6.3549222797927465,0.41584969080605894,2.6426924651483485,5.6,-16.6,1,0.6000000000000014,0,-0.4999999999999982,1,1,0.6000000000000014,1.0999999999999996,17.098445595854923,-6.522625356706074
PAC 10,15.5552,55.2,7.7,315.8,-15.2,host,7.7,-15.2,10,PAC V19 A,19,A,PAC 10,PA22,Pocillopora acuta,V19,1.6000000000000005,0.6000000000000014,5.721014492753623,0.35486525406295005,2.0301892614688337,6.2,-15.8,1.5,0.6000000000000014,1.2000000000000002,0.6000000000000014,1.5,0.2999999999999998,0.6000000000000014,0,13.949275362318842,-4.813172894236859
PAC 13,15.0053,66,6.8,341.4,-15.8,host,6.8,-15.8,13,PAC V16 A,16,A,PAC 13,PA11,Pocillopora acuta,V16,-0.10000000000000053,0,5.172727272727272,0.4398445882454866,2.275196097378926,5.6,-16.6,1.2000000000000002,0.8000000000000007,-0.40000000000000036,-0.3999999999999986,1.2000000000000002,1.6000000000000005,0.8000000000000007,1.1999999999999993,10.303030303030303,-4.6280023432923265
PAC 16,15.6167,54.7,7.2,296.2,-16.3,host,7.2,-16.3,16,PAC V04 A,4,A,PAC 16,PA19,Pocillopora acuta,V4,0.9000000000000004,0.1999999999999993,5.414990859232175,0.3502660613317795,1.8966875204108422,5.7,-16.9,1.5,0.5999999999999979,0.6000000000000005,0.3999999999999986,1.5,0.8999999999999995,0.5999999999999979,0.1999999999999993,13.16270566727605,-5.503038487508441
PAC 19,14.8748,59.3,6.6,349.2,-15.8,host,6.6,-15.8,19,PAC V09 A,9,A,PAC 19,PA13,Pocillopora acuta,V9,0.09999999999999964,0,5.8887015177065765,0.39866082233038425,2.3475945895070858,5.8,-17,0.7999999999999998,1.1999999999999993,-0.40000000000000036,-0.3000000000000007,0.7999999999999998,1.2000000000000002,1.1999999999999993,1.5,11.129848229342327,-4.52462772050401
