Vial_No_Only,Placement_Code,T0_dry_weight.g,T1_dry_weight.g,Change,Change_Over_Area,Percent_Change
45,PAC V07 C,22.239642932591806,24.99217182948754,2.7525288968957327,0.039011466159460086,0.12376677562848591
31,PAC V08 A,15.942121681668104,17.749348836781806,1.8072271551137025,0.033820354245927144,0.11336177148816012
32,PAC V08 B,18.554457829199546,20.049051478271643,1.4945936490720975,0.027321668940839313,0.08055172847573178
33,PAC V08 C,16.682567125867603,17.068956335423515,0.3863892095559116,0.008978495845143382,0.023161256096898026
19,PAC V09 A,23.833064363564215,24.913658051755558,1.0805936881913425,0.018907992955241416,0.045340106992004976
20,PAC V09 B,28.025968304388407,28.720705592428743,0.6947372880403364,0.012289640108889112,0.024789055653486627
21,PAC V09 C,27.377542012943387,32.69311454753705,5.315572534593663,0.04774726814073807,0.19415813633234857
55,PAC V10 A,27.136826432917562,29.304224526344804,2.1673980934272414,0.032673541876368686,0.0798692543796551
56,PAC V10 B,25.067591239574448,27.15580837520993,2.0882171356354817,0.03535992483809415,0.08330346205497373
57,PAC V10 C,27.307715671277727,30.907075868317015,3.5993601970392888,0.040340319841722275,0.13180744374107783
40,PAC V11 A,21.64320291445681,24.304701234160305,2.661498319703494,0.04526377701165845,0.12297155509851627
41,PAC V11 B,22.176475708855296,23.652556600045465,1.4760808911901684,0.030314524527340486,0.06656066142199295
42,PAC V11 C,22.762164284398263,26.082890211633128,3.3207259272348644,0.04705206628519653,0.1458879694278883
28,PAC V12 A,25.043543645748446,25.919720300898923,0.876176655150477,0.019230982837623957,0.03498612926127259
29,PAC V12 B,23.0096483622394,23.914947069368882,0.9052987071294822,0.01939409917953572,0.03934430865163272
30,PAC V12 C,23.849349381277708,26.664800415689125,2.815451034411417,0.04869634115413836,0.11805148179939917
54,PAC V13 A,21.086656504415963,24.102775183068758,3.016118678652795,0.04267403243909279,0.14303446722438715
53,PAC V13 B,18.914658253419127,20.385922966937045,1.4712647135179182,0.028572208137553793,0.07778436669623484
52,PAC V13 C,20.28196039155547,21.706967199643497,1.4250068080880283,0.030339950776869958,0.07025981614091602
46,PAC V14 A,21.528381094912643,26.424488593061707,4.896107498149064,0.050585862534583956,0.22742571661861094
47,PAC V14 B,20.10046831184093,24.203367264394693,4.102898952553762,0.05130838930400403,0.20411957019612303
48,PAC V14 C,22.036752988973472,26.036946398934692,4.00019340996122,0.04726157699012683,0.1815237213922939
25,PAC V15 A,21.719746356387148,24.191074901095007,2.471328544707859,0.03238254788740625,0.1137825692877446
26,PAC V15 B,24.89705344991045,30.16784066659426,5.270787216683807,0.05028773470401938,0.2117032534507719
27,PAC V15 C,23.09557455001521,27.899309838775327,4.803735288760116,0.04356361371527883,0.2079937556157031
13,PAC V16 A,17.50467316689714,18.399723895103108,0.8950507282059696,0.01734593089861887,0.051132101677773024
14,PAC V16 B,23.27444108133924,23.911069206449955,0.6366281251107146,0.009189194428047928,0.02735310046268498
15,PAC V16 C,23.362706200849264,24.724890265552318,1.3621840647030545,0.016807421913460806,0.05830591939959154
49,PAC V17 A,18.38653544911489,19.962672543584848,1.5761370944699564,0.030024655688871735,0.0857223536664614
50,PAC V17 B,18.117163990463617,19.39155358347509,1.274389593011474,0.02794267917340113,0.07034156083602698
51,PAC V17 C,16.65315961114571,17.45050966738807,0.7973500562423581,0.020548310269602216,0.047879806286652275
60,PAC V18 A,18.18545856215053,19.498702646843544,1.3132440846930145,0.03471459451460714,0.07221396591154841
59,PAC V18 B,16.20513872062412,16.814702051398154,0.6095633307740336,0.03233833207640038,0.03761543429420004
