Tube Name:,Sample ID:,Volume(μL):,All Events ,sym_FSC Events,sym_SSC Events,include Events,All Events  Mean Chla-A,sym_FSC Mean Chla-A,sym_SSC Mean Chla-A,include Mean Chla-A,All Events  Events/μL(V),sym_FSC Events/μL(V),sym_SSC Events/μL(V),include Events/μL(V)
04-Well-B12,,150.1,2237,76,68,1794,970658.3,7836278.0,7321827.0,950117.5,14.91,0.51,0.45,14.93
04-Well-C1,,150.1,3660,179,181,2818,960338.0,7491292.0,7061700.0,930710.1,24.39,1.19,1.21,23.45
04-Well-C2,,150.0,24348,2124,2136,18749,1087562.9,6485886.0,6353003.5,1079360.6,162.29,14.16,14.24,156.08
04-Well-C3,,150.1,21007,1021,1018,16515,791638.8,6102190.0,5958771.0,771998.4,139.99,6.80,6.78,137.45
04-Well-C4,,150.1,19682,745,732,15407,728222.1,6216339.0,5899400.0,717158.1,131.12,4.96,4.88,128.17
04-Well-C5,,150.1,23012,844,842,18303,605430.9,7024134.5,6738479.0,603623.5,153.36,5.62,5.61,152.33
04-Well-C6,,150.0,13616,467,433,10794,625287.2,7349021.5,7285208.5,610860.4,90.75,3.11,2.89,89.84
04-Well-C7,,150.0,11630,574,542,9181,852217.4,7313190.0,7090867.5,844164.1,77.51,3.83,3.61,76.42
04-Well-C8,,150.2,68,3,3,50,1582144.3,6761825.0,6761825.0,1797345.0,0.45,0.02,0.02,0.42
04-Well-C9,,150.1,29432,1049,1045,23366,735056.0,6688444.0,6525524.5,708118.8,196.15,6.99,6.96,194.47
04-Well-C10,,150.1,15309,486,487,11927,835309.1,6762989.0,6672340.0,834405.1,102.02,3.24,3.25,99.26
04-Well-C11,,150.0,1238,51,50,933,911749.0,6262338.0,5969950.0,890537.5,8.25,0.34,0.33,7.77
04-Well-C12,,150.1,21574,1119,1127,15991,773327.1,6309221.0,6087394.5,743706.1,143.75,7.46,7.51,133.06
04-Well-D1,,150.1,19511,1016,994,15237,1019627.9,7360434.5,7155809.0,1002805.7,130.03,6.77,6.62,126.81
04-Well-D2,,150.0,2038,195,196,1586,1318708.4,5557681.0,5404776.0,1285111.1,13.59,1.30,1.31,13.20
04-Well-D3,,150.0,4154,263,261,3256,974319.4,7465466.0,7153847.0,958986.0,27.69,1.75,1.74,27.11
04-Well-D4,,150.1,10577,1162,1170,8158,1338350.4,6402451.0,6238515.5,1297963.4,70.47,7.74,7.80,67.87
04-Well-D5,,150.1,2170,383,393,1714,2509153.3,6892033.5,6905271.5,2550317.3,14.46,2.55,2.62,14.26
04-Well-D6,,150.0,8107,438,439,6307,987458.5,7374823.5,7258025.0,980329.8,54.04,2.92,2.93,52.51
04-Well-D7,,150.0,9061,254,261,6947,596000.3,5867607.5,5617462.0,536380.2,60.40,1.69,1.74,57.84
04-Well-D8,,150.8,354,15,13,268,1446769.4,8803544.0,9678181.0,1666568.6,2.35,0.10,0.09,2.22
04-Well-D9,,150.1,22040,756,769,16944,882469.1,7455874.0,7112184.0,874082.6,146.88,5.04,5.12,141.02
04-Well-D10,,150.1,5704,188,198,4366,747100.4,6501867.0,6108031.0,712629.8,38.01,1.25,1.32,36.33
04-Well-D11,,150.0,13272,835,788,10197,855387.6,4829668.5,4876535.5,794214.8,88.47,5.57,5.25,84.89
04-Well-D12,,150.0,7096,491,454,5383,997153.1,4539242.0,4701306.0,1052548.3,47.30,3.27,3.03,44.81
04-Well-E1,,150.0,4015,281,293,3126,988509.9,5426359.5,5299315.5,961644.2,26.76,1.87,1.95,26.02
04-Well-E2,,150.0,11113,491,506,9238,990167.9,5205151.5,5073502.5,935839.9,74.08,3.27,3.37,76.91
04-Well-E3,,150.0,10304,397,403,8232,705737.5,5891121.5,5786233.0,649730.8,68.69,2.65,2.69,68.53
04-Well-E4,,150.1,8686,548,523,6907,833187.7,4589004.0,4663331.5,815875.3,57.88,3.65,3.49,57.48
04-Well-E5,,150.1,18,0,0,13,259851.8,####,####,210104.4,0.12,0.00,0.00,0.11
04-Well-E6,,150.1,9,0,0,7,291554.6,####,####,181558.8,0.06,0.00,0.00,0.06
04-Well-E7,,150.0,9,0,0,6,280005.8,####,####,362531.4,0.06,0.00,0.00,0.05
04-Well-E8,,150.1,39,0,0,33,303489.7,####,####,334008.8,0.26,0.00,0.00,0.27
05-Well-F1,,150.0,10221,513,532,8077,933546.9,5575358.0,5359907.5,899558.0,68.13,3.42,3.55,67.24
05-Well-F2,,150.1,9,0,0,3,166425.5,####,####,133444.7,0.06,0.00,0.00,0.02
05-Well-F3,,150.1,12,0,0,5,189255.9,####,####,178749.5,0.08,0.00,0.00,0.04
05-Well-F4,,150.2,7,0,0,3,438514.7,####,####,82608.1,0.05,0.00,0.00,0.02
