Y,Parameter,Reg_Type,AICc,R2,pVal.P,delAICc
Max_L_Basal,Nitrate+Nitrite,Polynomial,174.90562656345188,0.03777178413767182,0.2523642799249022,4.707611609006165
Area_1,Salinity,Linear,333.2468846591723,0.09146952285897458,0.022218200682434585,0
Area_1,Salinity,Polynomial,335.5557313291494,0.09158991765270598,0.9328939043937782,2.308846669977129
Area_1,Temperature,Linear,335.929446106525,0.04768971104142108,0.10268624183499757,2.6825614473527253
Area_1,Temperature,Polynomial,338.18510354842846,0.048704018135253095,0.8112762685255899,4.938218889256177
Area_1,pH,Linear,335.47858980164233,0.055192544696852995,0.07855949336398023,2.231705142470048
Area_1,pH,Polynomial,333.8070924827646,0.11903487919821168,0.053016643011297715,0.5602078235922932
Area_1,Phosphate,Linear,336.1417264960108,0.0441364881514335,0.11675452104957443,2.894841836838509
Area_1,Phosphate,Polynomial,338.3886745177646,0.045300466009861554,0.7984721218942245,5.141789858592347
Area_1,Silicate,Linear,337.72007088742737,0.017298526009310585,0.3294466029508215,4.473186228255088
Area_1,Silicate,Polynomial,338.4682608372904,0.04396653458605423,0.22502838796511418,5.221376178118135
Area_1,Nitrate+Nitrite,Linear,337.4523824329457,0.021902755953923193,0.271919502116624,4.205497773773402
Area_1,Nitrate+Nitrite,Polynomial,336.3581056168774,0.07871203674072619,0.07356902075542637,3.111220957705143
Area_2,Salinity,Linear,327.1413713426495,0.09600179963375079,0.01900313746259961,0
Area_2,Salinity,Polynomial,328.9478598187667,0.10405274571978605,0.48904536787717146,1.806488476117181
Area_2,Temperature,Linear,330.8719601333493,0.03485698175051669,0.16435002699707638,3.7305887906998123
Area_2,Temperature,Polynomial,332.71228523938674,0.04288448022164677,0.5038273987522894,5.570913896737238
Area_2,pH,Linear,328.51606548168854,0.07393464428581753,0.04074491751274461,1.3746941390390361
Area_2,pH,Polynomial,327.50582249371195,0.12643491026192633,0.07721092383434305,0.36445115106243975
Area_2,Phosphate,Linear,332.310251203629,0.010193497040830323,0.45489580413689834,5.168879860979473
Area_2,Phosphate,Polynomial,334.51853037783263,0.012069248525208348,0.7500524761820916,7.377159035183126
Area_2,Silicate,Linear,332.23622951818163,0.011478051302060074,0.42764758899186184,5.094858175532124
Area_2,Silicate,Polynomial,333.0492726590233,0.03720919606810581,0.23486780149154102,5.9079013163737955
Area_2,Nitrate+Nitrite,Linear,331.9931351765677,0.015684935406813958,0.35327720898245485,4.8517638339181985
Area_2,Nitrate+Nitrite,Polynomial,332.3202371772006,0.04944496789482697,0.17178682274275242,5.178865834551118
Area_Basal,Salinity,Linear,266.53550299097196,0.09044079005098185,0.02302087721952589,0.9325093680795931
Area_Basal,Salinity,Polynomial,268.5428622741903,0.09535887296629754,0.5901699307118109,2.9398686512979566
Area_Basal,Temperature,Linear,269.5883828054133,0.04039725408916184,0.13382862556371913,3.985389182520919
Area_Basal,Temperature,Polynomial,269.23439129116207,0.084316841175641,0.11336874255996496,3.631397668269699
Area_Basal,pH,Linear,267.71904814374454,0.07135730946580948,0.044563029608977324,2.116054520852174
Area_Basal,pH,Polynomial,265.60299362289237,0.14083440719399018,0.04137180560654872,0
Area_Basal,Phosphate,Linear,271.8368779935953,0.0017870039051826384,0.7548712126622227,6.233884370702924
Area_Basal,Phosphate,Polynomial,274.1528796502757,0.0017939900385016512,0.9845614354888765,8.549886027383309
Area_Basal,Silicate,Linear,270.4515286036355,0.025755497677768795,0.23304894619316707,4.848534980743125
Area_Basal,Silicate,Polynomial,272.0679398528421,0.03764655788717366,0.41760599763770034,6.464946229949703
Area_Basal,Nitrate+Nitrite,Linear,271.9060604169495,5.747105664784146e-4,0.8595015959222126,6.303066794057145
Area_Basal,Nitrate+Nitrite,Polynomial,272.8171696008103,0.024913516415370263,0.2507564226071924,7.214175977917932
