PLACEMENT,SLURRY.LABEL,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,sym_FSC.Events,sym_FSC.Mean.Chla.A,sym_FSC.Events.μL.V.,Pin_Number,Cage_Uncaged,Genotype,Species
PAC V08 B,PAC 35,25,28,782,5848469.5,5.21,8,B,PA19,Pocillopora_acuta
PAC V08 A,PAC 36,25,28,213,6133890.5,1.42,8,C,PA19,Pocillopora_acuta
PAC V18 C,PAC 37,25,28,142,5592855.5,0.95,18,A,PA22,Pocillopora_acuta
PAC V18 B,PAC 38,25,28,146,4993274.0,0.97,18,B,PA22,Pocillopora_acuta
PAC V18 A,PAC 39,25,28,304,4036554.3,2.03,18,C,PA22,Pocillopora_acuta
PAC V10 C,PAC 40,25,28,1033,5868506.0,6.89,10,A,PA18,Pocillopora_acuta
PAC V10 B,PAC 41,25,28,285,5538521.0,1.90,10,B,PA18,Pocillopora_acuta
PAC V10 A,PAC 42,25,28,202,5350018.0,1.35,10,C,PA18,Pocillopora_acuta
PAC V09 C,PAC 43,25,28,353,4588393.5,2.35,9,A,PA13,Pocillopora_acuta
PAC V09 B,PAC 44,25,28,226,5309813.5,1.51,9,B,PA13,Pocillopora_acuta
PAC V09 A,PAC 45,25,28,366,3987410.0,2.44,9,C,PA13,Pocillopora_acuta
PAC V19 C,PAC 46,25,28,561,4670294.0,3.74,19,A,PA22,Pocillopora_acuta
PAC V19 B,PAC 47,25,28,142,4116808.8,0.95,19,B,PA22,Pocillopora_acuta
PAC V19 A,PAC 48,25,28,586,5031448.5,3.91,19,C,PA22,Pocillopora_acuta
PAC V17 C,PAC 49,25,28,524,6109397.5,3.49,17,A,PA22,Pocillopora_acuta
PAC V17 B,PAC 50,25,28,163,3880465.5,1.09,17,B,PA22,Pocillopora_acuta
PAC V17 A,PAC 51,25,28,362,5079314.5,2.41,17,C,PA22,Pocillopora_acuta
PAC V20 C,PAC 52,25,28,513,4114731.3,3.42,20,A,PA11,Pocillopora_acuta
PAC V20 B,PAC 53,25,28,522,3943856.3,3.48,20,B,PA11,Pocillopora_acuta
PAC V20 A,PAC 54,25,28,318,3917259.3,2.12,20,C,PA11,Pocillopora_acuta
PAC V14 B,PAC 56,25,28,452,5954456.5,3.01,14,B,PA18,Pocillopora_acuta
PAC V14 A,PAC 57,25,28,433,5357122.5,2.89,14,C,PA18,Pocillopora_acuta
PAC V13 A,PAC 58,25,28,359,5436779.0,2.39,13,A,PA13,Pocillopora_acuta
PAC V13 B,PAC 59,25,28,328,4827784.5,2.18,13,B,PA13,Pocillopora_acuta
